pEffort,uaI,SleepInd,Sex_F,pEffort(MA6),SleepInd(MA6),uaI(MA6),Appetite(MA6),FatigInd
1.0,0.0,-4.0,0,4.641876482994212,-3.981729812358267,1.7992885633611235,3.547825047781388,Optimal
8.0,2.22,-4.0,1,6.625635043960071,-4.1399874461575035,1.9678259647302112,5.941917516012462,Optimal
5.0,1.6,-4.0,0,4.938963943429428,-4.285347259559154,2.0980020262778973,4.021793718408517,Optimal
5.0,1.93,-5.0,0,4.912536443148689,-2.6166180758017488,1.6053644314868805,5.12536443148688,Optimal
5.0,2.61,-5.0,1,5.249727833730251,-4.965590689668342,2.379070972421969,5.999999999994832,Optimal
3.0,1.0,-6.0,0,4.666628787458391,-6.327559919798827,1.831594286425508,3.965131016736839,Optimal
3.0,2.0,-7.0,1,2.8583279099626737,-7.1146358254058795,1.5917802987102772,5.77145110687934,Optimal
4.0,2.0,-6.0,1,2.5158002851445405,-5.861781892624466,1.8301583065652096,5.999999999995521,Optimal
6.0,2.0,-6.0,1,5.626734344968732,-5.58675009962925,1.9625847353465515,6.000185298211895,Optimal
5.0,1.79,-5.5,1,5.201457066593425,-5.162115658676111,2.0756112907435447,5.966712236970696,Optimal
3.0,2.0,-7.0,1,3.298224456983482,-6.939736087975904,1.8512318872850864,5.485222706588681,Optimal
5.0,1.96,-6.0,1,5.282039893230796,-5.026961922146556,2.189855807040962,5.953397131758974,Optimal
6.0,2.64,-3.0,1,4.9382207641353375,-4.8190594593226015,2.3515845644076014,5.999999999706947,Optimal
1.0,2.0,-4.0,1,3.119382805222858,-5.578888893529143,2.007835704665081,5.123662841686191,Optimal
1.0,1.0,-5.0,0,3.842840750554522,-4.055929856231538,1.8366040619768345,4.215888947945549,Optimal
3.0,2.0,-5.5,1,2.298367285583882,-5.599841425588596,1.7917444582958275,5.9999999926540495,Optimal
5.0,2.76,-6.0,1,5.088041639976921,-5.403128763880311,2.484548251876198,5.999999999923716,Optimal
1.0,0.0,-7.5,1,3.0894519605443853,-6.942753560778357,1.1457787554704884,6.000000001016863,Optimal
5.0,1.82,-4.0,1,4.949665557677352,-4.571882758776546,2.116980448231364,5.918588505886219,Optimal
4.0,1.54,-5.5,1,3.02956168352015,-6.160522413323025,0.910180925254594,5.999998153808802,Optimal
6.0,2.0,-6.0,1,5.600150305619296,-6.727661140633897,1.8512465152446769,6.0000000294132025,Optimal
1.0,0.0,-6.0,1,2.393968979999473,-5.5233035688040975,1.1992284407646536,6.103726579251883,Optimal
4.0,1.29,-5.0,1,3.4047564513391047,-5.673781739058224,1.327003926063942,6.635568513129923,Optimal
5.0,1.6,-4.0,0,4.161430008538421,-4.249762120830596,1.4403797471858226,4.4394291976707425,Optimal
5.0,2.0,-5.0,1,4.2883186702262215,-5.654650252535166,1.816353858075973,6.074237709677091,Optimal
1.0,0.0,-7.0,1,1.9146216759705248,-6.373560963049225,0.3892278917778515,5.38603172621499,Optimal
