SleepInd,pEffort,uaI,uaI(-1),DeltaHrtwo,FatigInd
-6.0,1.0,0.0,1.83,-6.0,Low/Minimal
-5.5,1.0,0.0,2.29,-6.0,Low/Minimal
-5.0,5.0,2.0,2.0,11.0,Low/Minimal
-5.0,1.0,0.0,1.16,0.0,Low/Minimal
-6.591702254926717,1.0,0.0,2.0,-3.799145881758794,Low/Minimal
-6.8598250394574105,1.456069984217036,0.912139968434072,2.0,7.631790047348892,Low/Minimal
-4.0,6.0,2.92,3.29,-6.0,Low/Minimal
-7.0,1.0,0.0,2.64,0.0,Low/Minimal
-7.0,1.0,0.0,2.0,0.0,Low/Minimal
-3.0,5.0,2.0,2.0,13.0,Low/Minimal
-6.708770859801958,1.0,0.0,0.949752952134624,4.252625158811749,Low/Minimal
-6.0,1.0,0.0,1.83,0.0,Low/Minimal
-7.0,1.0,0.0,0.0,0.0,Low/Minimal
-5.0,4.0,2.0,2.0,8.0,Low/Minimal
-6.0,2.0,2.0,2.0,6.0,Low/Minimal
-5.0,2.0,2.0,2.0,6.0,Low/Minimal
-6.0,1.0,2.0,2.0,12.0,Low/Minimal
-7.0,1.0,0.0,0.8141101015479275,6.0,Low/Minimal
-8.0,1.0,0.0,2.31,0.0,Low/Minimal
-8.0,5.0,0.0,1.83,24.0,Low/Minimal
-4.0,1.0,0.0,0.0,0.0,Low/Minimal
-7.633638156706308,1.0,0.0,2.430899408286918,0.0,Low/Minimal
-5.5,2.0,2.0,2.0,-6.0,Low/Minimal
-8.0,5.0,2.0,2.0,10.0,Low/Minimal
-6.0,2.0,2.0,0.0,6.0,Low/Minimal
-8.0,5.0,2.0,2.0,9.0,Low/Minimal
-7.0,1.0,0.0,0.0,6.0,Low/Minimal
-6.0,1.0,1.0,2.0,5.0,Low/Minimal
-5.0,2.0,2.0,2.0,6.0,Low/Minimal
-5.5247564316322375,4.376217841838811,2.0,2.0,3.3267049785743352,Low/Minimal
-6.5,1.0,0.0,2.0,-6.0,Low/Minimal
-3.4703677631940515,6.61185289472238,2.0,1.6118528947223796,19.105176842220963,Low/Minimal
-6.0,6.0,2.18,2.05,6.0,Low/Minimal
-6.0,1.0,0.0,2.0,0.0,Low/Minimal
-6.0,2.0,2.0,2.0,6.0,Low/Minimal
-5.5,2.0,2.0,2.0,6.0,Low/Minimal
-5.0,4.0,1.0,1.0,0.0,Low/Minimal
-4.5,2.0,2.33,1.87,-18.0,Low/Minimal
-5.8526206184364575,1.0,0.0,1.0852620618436457,1.0231447421237492,Low/Minimal
-6.0,8.0,2.0,2.0,5.0,Low/Minimal
-5.0,1.0,1.0,1.0,0.0,Low/Minimal
-10.0,1.0,0.0,1.5,6.0,Low/Minimal
-6.5,1.0,0.0,1.83,0.0,Low/Minimal
-6.0,7.0,2.0,2.0,7.0,Low/Minimal
-6.0,1.0,0.0,2.64,-6.0,Low/Minimal
-7.0,1.0,0.0,0.0,6.0,Low/Minimal
-6.0,2.0,2.0,2.0,6.0,Low/Minimal
-6.0,5.8703042992832355,1.6957577570404625,2.0,5.0,Low/Minimal
-7.790759209021937,4.442024557391832,1.7210122786959163,2.0,7.768098229567331,Low/Minimal
-6.0,6.0,2.69,2.43,-6.0,Low/Minimal
-6.0,2.0,2.0,2.0,6.0,Low/Minimal
-5.0,1.0,0.0,0.0,0.0,Low/Minimal
-5.5,2.0,2.0,2.0,6.0,Low/Minimal
-6.0,2.0,2.0,2.0,-6.0,Low/Minimal
-5.0,7.0,2.0,2.0,7.0,Low/Minimal
-6.0,1.0,1.0,1.0,4.0,Low/Minimal
-7.0,2.0,2.0,2.0,13.0,Low/Minimal
-6.0,1.0,0.0,1.0,-6.0,Low/Minimal
-6.0,6.0,2.0,2.0,8.0,Low/Minimal
-7.143120495690667,1.0,0.0511144627466667,2.0,0.0,Low/Minimal
-5.5,4.0,1.87,2.85,-6.0,Low/Minimal
-6.0,5.0,2.43,2.0,-6.0,Low/Minimal
-6.0,1.0,0.0,0.0,0.0,Low/Minimal
-5.5,2.0,2.0,2.0,6.0,Low/Minimal
-6.0,1.0,0.0,1.89,0.0,Low/Minimal
-7.0,1.0,0.0,0.0,0.0,Low/Minimal
-7.0,1.0,0.0,2.0,6.0,Low/Minimal
-6.0,2.0,2.0,2.0,0.0,Low/Minimal
-5.0,2.0,2.0,2.0,-6.0,Low/Minimal
-7.181824967207101,1.0,0.0,0.4200156742484024,0.0,Low/Minimal
-5.0,1.0,0.0,1.0,0.0,Low/Minimal
-2.5,7.0,2.0,2.0,16.0,Low/Minimal
-5.0,2.0,2.0,2.0,6.0,Low/Minimal
-7.862528132298237,4.862528132298237,0.0,1.7671066205264436,22.96896099223678,Low/Minimal
