Appetite,pEffort,Sex_F,SleepInd,SleepInd(-1),SleepInd(-2),uaI,uaI(-1),uaI(-2),pEffort(-1),pEffort(-2),Appetite(-1),Appetite(-2),FatigInd
6.0,8.0,1,-6.0,-5.0,-3.0,1.92,1.86,1.51,6.0,8.0,6.0,6.0,Risk/Caution
6.0,5.0,1,-6.0,-5.0,-6.0,1.58,0.0,1.92,1.0,8.0,6.0,6.0,Risk/Caution
6.0,7.0,1,-5.0,-6.0,-5.0,2.2,1.58,0.0,5.0,1.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-5.0,-5.0,-6.0,2.25,2.2,1.58,7.0,5.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-6.0,-6.5,-4.0,2.02,1.89,1.72,5.0,5.0,6.0,6.0,Risk/Caution
6.0,8.0,1,-3.0,-6.0,-6.5,2.26,2.02,1.89,6.0,5.0,6.0,6.0,Risk/Caution
5.0,6.0,1,-6.0,-3.0,-6.0,1.98,2.26,2.02,8.0,6.0,6.0,6.0,Risk/Caution
6.0,7.0,1,-4.5,-5.0,-6.0,1.7,1.93,1.98,8.0,6.0,6.0,5.0,Risk/Caution
6.0,6.0,1,-3.0,-6.5,-4.5,1.91,2.67,1.7,5.0,7.0,6.0,6.0,Risk/Caution
6.0,7.0,1,-4.5,-3.0,-6.5,1.97,1.91,2.67,6.0,5.0,6.0,6.0,Risk/Caution
6.0,8.0,1,-4.5,-4.5,-3.0,2.06,1.97,1.91,7.0,6.0,6.0,6.0,Risk/Caution
6.0,5.0,1,-7.0,-1.0,-4.0,1.85,2.6,2.94,9.0,7.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-5.0,-7.0,-1.0,2.1,1.85,2.6,5.0,9.0,6.0,6.0,Risk/Caution
6.0,5.0,1,-4.5,-4.0,-5.0,2.25,2.48,2.1,8.0,6.0,6.0,6.0,Risk/Caution
6.0,5.0,1,-4.0,-4.5,-4.0,1.63,2.25,2.48,5.0,8.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-3.5,-3.5,-3.0,1.81,1.32,2.04,4.0,8.0,6.0,6.0,Risk/Caution
6.0,8.0,1,-3.5,-3.5,-3.5,2.37,1.81,1.32,6.0,4.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-7.5,-4.5,-5.0,2.05,1.94,1.75,6.0,7.0,6.0,6.0,Risk/Caution
3.0,9.0,1,-3.8,-3.5,-7.0,2.16,2.25,1.82,8.0,6.0,6.0,6.0,Risk/Caution
6.0,7.0,1,-4.8,-3.8,-3.5,2.09,2.16,2.25,9.0,8.0,3.0,6.0,Risk/Caution
6.0,9.0,1,-5.5,-4.8,-3.8,2.28,2.09,2.16,7.0,9.0,6.0,3.0,Risk/Caution
6.0,8.0,1,-4.0,-5.5,-4.8,2.54,2.28,2.09,9.0,7.0,6.0,6.0,Risk/Caution
5.0,6.0,1,-5.0,-5.0,-7.0,2.0,2.0,1.0,5.0,4.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-6.0,-5.0,-5.0,2.5,2.0,2.0,6.0,5.0,5.0,6.0,Risk/Caution
6.0,5.0,1,-6.5,-5.5,-6.5,2.0,2.0,2.0,3.0,4.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-6.0,-5.0,-5.0,2.08,0.0,1.86,1.0,6.0,6.0,6.0,Risk/Caution
6.0,5.0,1,-4.5,-6.0,-5.0,1.46,2.08,0.0,6.0,1.0,6.0,6.0,Risk/Caution
6.0,5.0,1,-5.0,-4.5,-6.0,2.15,1.46,2.08,5.0,6.0,6.0,6.0,Risk/Caution
6.0,5.0,1,-4.0,-6.0,-7.0,2.24,0.0,2.49,1.0,1.0,6.0,6.0,Risk/Caution
6.0,5.0,1,-4.5,-4.0,-6.0,2.0,2.24,0.0,5.0,1.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-3.0,-3.0,-4.5,2.05,2.21,1.82,6.0,4.0,6.0,6.0,Risk/Caution
6.0,5.0,1,-5.0,-5.0,-5.0,3.0,2.34,2.69,4.0,5.0,5.0,6.0,Risk/Caution
6.0,6.0,1,-4.0,-5.0,-5.0,2.17,3.0,2.34,5.0,4.0,6.0,5.0,Risk/Caution
6.0,6.0,1,-5.0,-4.0,-5.0,2.15,2.17,3.0,6.0,5.0,6.0,6.0,Risk/Caution
5.0,5.0,1,-5.5,-5.0,-5.5,1.78,1.76,1.79,5.0,5.0,5.0,6.0,Risk/Caution
5.0,5.0,1,-6.0,-5.5,-5.0,2.25,1.78,1.76,5.0,5.0,5.0,5.0,Risk/Caution
5.0,5.0,1,-5.0,-6.0,-5.5,2.3,2.25,1.78,5.0,5.0,5.0,5.0,Risk/Caution
6.0,6.0,1,-6.0,-5.0,-6.0,2.3,2.3,2.25,5.0,5.0,5.0,5.0,Risk/Caution
6.0,5.0,1,-6.0,-6.0,-5.0,2.06,2.3,2.3,6.0,5.0,6.0,5.0,Risk/Caution
6.0,7.0,1,-4.0,-5.5,-5.0,2.29,2.1,1.94,2.0,5.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-4.0,-4.0,-5.0,2.92,3.29,3.29,6.0,5.0,6.0,6.0,Risk/Caution
6.0,5.0,1,-6.0,-5.0,-4.0,2.68,1.4,2.92,5.0,6.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-7.0,-5.0,-7.0,1.41,0.0,0.0,1.0,1.0,6.0,6.0,Risk/Caution
5.0,7.0,0,-3.5,-2.0,-4.0,2.42,1.42,1.93,4.0,6.0,4.0,6.0,Risk/Caution
4.0,6.0,0,-3.0,-3.5,-2.0,2.28,2.42,1.42,7.0,4.0,5.0,4.0,Risk/Caution
5.0,5.0,0,-4.0,-3.0,-3.5,2.07,2.28,2.42,6.0,7.0,4.0,5.0,Risk/Caution
6.0,4.0,0,-2.5,-4.0,-3.0,1.47,2.07,2.28,5.0,6.0,5.0,4.0,Risk/Caution
5.0,6.0,0,-2.0,-2.0,-5.0,2.15,1.52,2.08,4.0,5.0,4.0,5.0,Risk/Caution
5.0,6.0,0,-3.0,-2.0,-2.0,2.28,2.15,1.52,6.0,4.0,5.0,4.0,Risk/Caution
4.0,5.0,0,-1.5,-3.0,-2.0,1.69,2.28,2.15,6.0,6.0,5.0,5.0,Risk/Caution
4.0,6.0,0,-3.5,-6.5,-5.0,2.3,2.24,0.0,6.0,1.0,4.0,5.0,Risk/Caution
5.0,5.0,0,-5.0,-5.0,-3.5,2.31,2.75,2.3,4.0,6.0,4.0,4.0,Risk/Caution
4.0,7.0,0,-4.5,-4.0,0.0,2.69,2.07,1.33,6.0,3.0,3.0,4.0,Risk/Caution
4.0,5.0,0,-5.0,-5.5,-4.5,3.0,2.61,2.69,5.0,7.0,4.0,4.0,Risk/Caution
4.0,5.0,0,-2.5,-3.0,0.0,1.79,1.96,3.13,2.0,1.0,4.0,5.0,Risk/Caution
4.0,5.0,0,-5.0,-3.0,-3.0,3.23,2.13,2.06,5.0,5.0,4.0,4.0,Risk/Caution
4.0,5.0,0,-4.5,-5.0,-3.0,1.9,3.23,2.13,5.0,5.0,4.0,4.0,Risk/Caution
4.0,6.0,0,-5.0,-3.0,-4.0,2.86,2.13,2.08,6.0,6.0,4.0,3.0,Risk/Caution
4.0,6.0,0,-3.0,-4.5,-3.0,1.75,2.02,0.0,5.0,1.0,4.0,5.0,Risk/Caution
5.0,6.0,0,-5.5,-5.5,-4.0,2.76,2.52,1.85,6.0,6.0,5.0,5.0,Risk/Caution
5.0,5.0,0,-3.5,-5.5,-5.5,2.73,2.76,2.52,6.0,6.0,5.0,5.0,Risk/Caution
4.0,5.0,0,-2.0,-4.199999999999999,-3.5,2.24,2.37,2.73,2.0,5.0,5.0,5.0,Risk/Caution
4.0,6.0,0,-2.0999999999999996,-2.0,-4.199999999999999,2.47,2.24,2.37,5.0,2.0,4.0,5.0,Risk/Caution
4.0,6.0,0,-3.5,-4.0,-3.0,2.08,2.76,2.21,7.0,7.0,4.0,3.0,Risk/Caution
5.0,6.0,0,-4.0,-4.5,-3.5,2.31,2.45,2.08,6.0,6.0,4.0,4.0,Risk/Caution
4.0,5.0,0,-2.8,-4.5,-4.0,2.3,0.0,2.31,1.0,6.0,5.0,5.0,Risk/Caution
4.0,5.0,0,-4.5,-2.0999999999999996,-4.0,2.38,2.11,2.42,6.0,7.0,4.0,4.0,Risk/Caution
5.0,5.0,0,-5.0,-4.5,-2.0999999999999996,2.23,2.38,2.11,5.0,6.0,4.0,4.0,Risk/Caution
5.0,5.0,0,-4.0,-6.5,-5.0,1.8,3.02,2.23,7.0,5.0,5.0,5.0,Risk/Caution
4.0,5.0,0,-2.8,-5.0,-4.0,1.72,2.58,1.8,7.0,5.0,4.0,5.0,Risk/Caution
3.0,6.0,0,-2.7,-2.8,-5.0,2.75,1.72,2.58,5.0,7.0,4.0,4.0,Risk/Caution
4.0,6.0,0,-3.0,-6.0,-2.7,2.64,2.82,2.75,7.0,6.0,3.0,3.0,Risk/Caution
3.0,6.0,0,-4.0,-4.0,-3.0,2.33,0.0,2.64,1.0,6.0,3.0,4.0,Risk/Caution
3.0,6.0,0,-3.0,-4.0,-4.0,2.44,2.33,0.0,6.0,1.0,3.0,3.0,Risk/Caution
4.0,6.0,0,-4.0,-3.0,-4.0,2.76,2.44,2.33,6.0,6.0,3.0,3.0,Risk/Caution
5.0,5.0,0,-3.5,-3.5,-4.0,2.0,2.0,2.47,4.0,5.0,5.0,4.0,Risk/Caution
4.0,6.0,0,-3.5,-4.0,-5.0,2.0,2.0,1.0,5.0,1.0,3.0,4.0,Risk/Caution
4.0,5.0,0,-4.0,-3.5,-4.0,2.0,2.0,2.0,6.0,5.0,4.0,3.0,Risk/Caution
4.0,5.0,0,-4.0,-4.0,-3.5,2.0,2.0,2.0,5.0,6.0,4.0,4.0,Risk/Caution
4.0,5.0,0,-4.0,-4.0,-4.0,2.0,2.0,2.0,5.0,5.0,4.0,4.0,Risk/Caution
4.0,5.0,0,-4.5,-4.5,-5.0,2.0,2.0,2.0,6.0,5.0,3.0,4.0,Risk/Caution
3.0,5.0,0,-4.0,-4.0,-4.5,2.0,2.0,2.0,4.0,4.0,4.0,4.0,Risk/Caution
3.0,7.0,0,-6.0,-5.0,-5.0,2.44,1.89,1.54,4.0,4.0,4.0,4.0,Risk/Caution
4.0,7.0,0,-6.0,-5.0,-5.5,2.08,1.75,2.51,5.0,6.0,4.0,4.0,Risk/Caution
4.0,7.0,0,-4.5,-3.5,-2.0,2.76,2.21,1.32,6.0,5.0,4.0,3.0,Risk/Caution
4.0,7.0,0,-4.1,-3.5,-4.5,2.45,2.08,2.76,7.0,7.0,3.0,4.0,Risk/Caution
4.0,6.0,0,-5.0,-4.1,-3.5,2.31,2.45,2.08,7.0,7.0,4.0,3.0,Risk/Caution
4.0,6.0,0,-3.0,-5.0,-5.0,2.18,2.3,0.0,6.0,1.0,4.0,3.0,Risk/Caution
4.0,7.0,0,-5.0,-3.0,-5.0,2.42,2.18,2.3,6.0,6.0,4.0,4.0,Risk/Caution
3.0,6.0,0,-5.0,-4.3,-5.0,2.38,2.11,2.42,7.0,7.0,4.0,4.0,Risk/Caution
3.0,8.0,0,-5.0,-4.0,-5.0,3.02,2.23,2.38,7.0,6.0,3.0,3.0,Risk/Caution
5.0,4.0,1,-5.0,-7.0,-7.0,2.79,2.33,1.4,4.0,3.0,5.0,5.0,Risk/Caution
6.0,4.0,1,-7.0,-5.0,-7.0,2.0,2.79,2.33,4.0,4.0,5.0,5.0,Risk/Caution
5.0,4.0,1,-3.0,-7.0,-5.0,2.91,2.0,2.79,4.0,4.0,6.0,5.0,Risk/Caution
6.0,5.0,1,-6.0,-7.0,-3.0,2.35,0.0,3.67,1.0,2.0,5.0,5.0,Risk/Caution
5.0,4.0,1,-8.0,-5.0,-6.0,1.87,2.2,2.35,4.0,5.0,5.0,6.0,Risk/Caution
5.0,5.0,1,-7.0,-8.0,-5.0,1.94,1.87,2.2,4.0,4.0,5.0,5.0,Risk/Caution
6.0,1.0,1,-4.0,-5.0,-5.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,Risk/Caution
5.0,4.0,1,-7.0,-7.0,-7.0,1.41,0.0,1.0,1.0,4.0,5.0,6.0,Risk/Caution
5.0,1.0,1,-6.0,-7.0,-7.0,0.0,1.41,0.0,4.0,1.0,5.0,5.0,Risk/Caution
4.0,4.0,1,-7.0,-7.0,-6.0,1.41,0.0,0.0,1.0,1.0,6.0,5.0,Risk/Caution
5.0,5.0,1,-6.0,-6.0,-5.0,1.89,2.19,1.89,4.0,5.0,5.0,5.0,Risk/Caution
5.0,6.0,1,-5.5,-4.6,-6.0,2.36,2.33,0.0,5.0,1.0,5.0,6.0,Risk/Caution
6.0,6.0,1,-5.0,-4.0,-6.0,2.86,2.13,2.08,5.0,5.0,5.0,5.0,Risk/Caution
8.0,1.0,1,-7.0,-6.0,-7.0,0.0,2.0,2.0,4.0,4.0,5.0,5.0,Risk/Caution
5.0,5.0,1,-5.0,-4.5,-5.5,2.0,2.0,2.0,4.0,4.0,5.0,5.0,Risk/Caution
5.0,5.0,1,-4.0,-6.0,-3.0,2.0,0.0,2.0,1.0,3.0,5.0,4.0,Risk/Caution
6.0,5.0,1,-4.0,-4.0,-6.0,2.0,2.0,0.0,5.0,1.0,5.0,5.0,Risk/Caution
5.0,8.0,0,-4.5,-5.0,-4.5,2.28,2.42,1.42,7.0,5.0,5.0,6.0,Risk/Caution
5.0,7.0,0,-2.0,-4.5,-5.0,2.07,2.28,2.42,8.0,7.0,5.0,5.0,Risk/Caution
5.0,6.0,0,-4.0,-5.0,-4.0,2.86,2.13,2.08,5.0,6.0,6.0,8.0,Risk/Caution
4.0,8.0,0,-5.0,-4.0,-5.0,1.88,2.86,2.13,6.0,5.0,5.0,6.0,Risk/Caution
6.0,8.0,0,-3.3,-5.0,-0.5,2.4,2.53,2.3,8.0,6.0,6.0,6.0,Risk/Caution
5.0,6.0,1,-2.0,-8.0,-5.0,1.98,0.0,1.66,1.0,7.0,6.0,5.0,Risk/Caution
5.0,6.0,1,-5.0,-2.0,-8.0,1.42,1.98,0.0,6.0,1.0,5.0,6.0,Risk/Caution
5.0,8.0,1,-5.0,-5.0,-2.0,2.42,1.42,1.98,6.0,6.0,5.0,5.0,Risk/Caution
5.0,6.0,1,-5.0,-5.0,-5.0,2.33,2.42,1.42,8.0,6.0,5.0,5.0,Risk/Caution
5.0,7.0,1,-4.0,-5.0,-5.0,2.07,2.33,2.42,6.0,8.0,5.0,5.0,Risk/Caution
5.0,6.0,1,-5.0,-4.0,-5.0,1.86,2.07,2.33,7.0,6.0,5.0,5.0,Risk/Caution
5.0,6.0,1,-5.0,-6.0,-5.0,2.08,0.0,1.86,1.0,6.0,5.0,5.0,Risk/Caution
5.0,5.0,1,-5.0,-5.0,-6.0,1.46,2.08,0.0,6.0,1.0,5.0,5.0,Risk/Caution
6.0,8.0,1,-5.0,-5.0,-5.0,2.15,1.46,2.08,5.0,6.0,5.0,5.0,Risk/Caution
5.0,8.0,1,-4.0,-5.0,-5.0,2.33,2.15,1.46,8.0,5.0,6.0,5.0,Risk/Caution
5.0,6.0,1,-4.0,-4.0,-5.0,1.69,2.33,2.15,8.0,8.0,5.0,6.0,Risk/Caution
6.0,6.0,1,-5.0,-4.0,-4.0,2.49,1.69,2.33,6.0,8.0,5.0,5.0,Risk/Caution
6.0,7.0,1,-5.0,-5.0,-5.0,2.69,2.0,2.24,5.0,1.0,6.0,6.0,Risk/Caution
6.0,5.0,1,-4.0,-5.0,-5.0,2.75,2.69,2.0,7.0,5.0,6.0,6.0,Risk/Caution
6.0,7.0,1,-4.0,-4.0,-4.0,2.21,1.82,2.75,5.0,5.0,6.0,6.0,Risk/Caution
6.0,7.0,1,-5.0,-6.0,-3.0,2.69,1.78,1.33,6.0,4.0,6.0,5.0,Risk/Caution
6.0,7.0,1,-5.0,-5.0,-6.0,2.34,2.69,1.78,7.0,6.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-6.0,-5.0,-5.0,3.0,2.34,2.69,7.0,7.0,6.0,6.0,Risk/Caution
5.0,7.0,1,-5.0,-6.0,-5.0,2.17,3.0,2.34,6.0,7.0,6.0,6.0,Risk/Caution
5.0,7.0,1,-5.5,-5.0,-6.0,2.15,2.17,3.0,7.0,6.0,5.0,6.0,Risk/Caution
5.0,5.0,1,-5.0,-5.5,-5.0,1.96,2.15,2.17,7.0,7.0,5.0,5.0,Risk/Caution
6.0,6.0,1,-5.0,-5.0,-5.5,1.79,1.96,2.15,5.0,7.0,5.0,5.0,Risk/Caution
6.0,7.0,1,-5.0,-5.0,-5.0,1.76,1.79,1.96,6.0,5.0,6.0,5.0,Risk/Caution
6.0,6.0,1,-6.0,-5.0,-5.0,1.78,1.76,1.79,7.0,6.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-4.0,-6.0,-5.0,2.25,1.78,1.76,6.0,7.0,6.0,6.0,Risk/Caution
6.0,7.0,1,-5.0,-6.0,-4.0,2.3,2.3,2.25,7.0,6.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-5.0,-6.0,-5.0,2.13,2.06,2.3,1.0,7.0,6.0,6.0,Risk/Caution
6.0,7.0,1,-5.0,-5.0,-6.0,3.23,2.13,2.06,6.0,1.0,6.0,6.0,Risk/Caution
5.0,5.0,1,-5.0,-5.0,-5.0,1.53,2.79,1.89,4.0,4.0,5.0,5.0,Risk/Caution
6.0,6.0,1,-4.0,-5.0,-5.0,3.29,1.53,2.79,5.0,4.0,5.0,5.0,Risk/Caution
6.0,4.0,1,-4.0,-4.0,-5.0,1.4,2.92,3.29,6.0,8.0,6.0,6.0,Risk/Caution
6.0,5.0,1,-5.0,-4.0,-4.0,2.68,1.4,2.92,4.0,6.0,6.0,6.0,Risk/Caution
5.0,4.0,1,-4.0,-5.0,-5.0,1.5,2.79,2.68,5.0,5.0,5.0,6.0,Risk/Caution
5.0,5.0,1,-5.0,-4.0,-5.0,1.5,1.5,2.79,4.0,5.0,5.0,5.0,Risk/Caution
6.0,6.0,1,-4.0,-4.0,-5.0,1.94,1.87,2.2,4.0,4.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-4.0,-4.0,-4.0,1.94,1.94,1.87,6.0,4.0,6.0,6.0,Risk/Caution
6.0,7.0,1,-5.0,-6.0,-6.0,1.41,1.0,1.0,1.0,5.0,6.0,6.0,Risk/Caution
6.0,1.0,1,-5.0,-5.0,-6.0,0.0,1.41,1.0,7.0,1.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-5.0,-6.0,-5.0,1.41,0.0,0.0,1.0,1.0,6.0,6.0,Risk/Caution
6.0,4.0,1,-6.0,-6.0,-5.0,1.16,1.56,1.41,6.0,6.0,6.0,6.0,Risk/Caution
6.0,5.0,1,-5.0,-7.0,-6.0,1.54,0.0,1.16,1.0,4.0,5.0,6.0,Risk/Caution
6.0,7.0,1,-5.0,-6.0,-5.0,2.33,0.0,1.83,1.0,5.0,6.0,6.0,Risk/Caution
6.0,7.0,1,-5.5,-5.0,-6.0,2.03,2.33,0.0,7.0,1.0,6.0,6.0,Risk/Caution
6.0,7.0,1,-5.0,-5.5,-5.0,1.85,2.03,2.33,7.0,7.0,6.0,6.0,Risk/Caution
7.0,7.0,1,-5.0,-5.0,-5.5,2.81,1.85,2.03,7.0,7.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-5.0,-5.0,-5.0,1.68,2.81,1.85,7.0,7.0,7.0,6.0,Risk/Caution
6.0,6.0,1,-5.0,-5.0,-5.0,2.51,1.68,2.81,6.0,7.0,6.0,7.0,Risk/Caution
6.0,7.0,1,-5.0,-5.0,-5.0,2.08,1.82,2.51,6.0,6.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-4.0,-5.0,-5.0,2.18,2.08,1.82,7.0,6.0,6.0,6.0,Risk/Caution
6.0,7.0,1,-5.0,-4.0,-5.0,2.76,2.18,2.08,6.0,7.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-4.5,-5.0,-4.0,1.93,2.76,2.18,7.0,6.0,6.0,6.0,Risk/Caution
6.0,7.0,1,-5.0,-4.5,-5.0,2.44,1.93,2.76,6.0,7.0,6.0,6.0,Risk/Caution
6.0,5.0,1,-4.0,-4.0,-4.0,2.85,0.0,0.0,1.0,1.0,6.0,6.0,Risk/Caution
6.0,7.0,1,-5.0,-4.0,-4.0,2.64,2.85,0.0,5.0,1.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-4.0,-3.5,-5.0,1.85,2.88,2.64,5.0,7.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-5.0,-5.0,-3.0,2.61,2.64,2.21,7.0,6.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-5.0,-4.5,-5.0,2.3,0.0,2.11,1.0,7.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-5.0,-5.0,-4.5,2.11,2.3,0.0,6.0,1.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-4.0,-5.0,-5.0,2.42,2.11,2.3,6.0,6.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-4.0,-4.0,-5.0,2.11,2.42,2.11,6.0,6.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-4.0,-4.0,-4.0,2.38,2.11,2.42,6.0,6.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-5.0,-4.0,-4.0,2.23,2.38,2.11,6.0,6.0,6.0,6.0,Risk/Caution
5.0,8.0,1,-6.0,-5.0,-4.0,3.02,2.23,2.38,6.0,6.0,6.0,6.0,Risk/Caution
8.0,7.0,1,-5.5,-6.0,-5.0,1.8,3.02,2.23,8.0,6.0,5.0,6.0,Risk/Caution
8.0,8.0,1,-6.0,-5.5,-6.0,2.58,1.8,3.02,7.0,8.0,8.0,5.0,Risk/Caution
6.0,6.0,1,-6.0,-6.0,-5.5,1.72,2.58,1.8,8.0,7.0,8.0,8.0,Risk/Caution
6.0,1.0,1,-4.0,-7.0,-6.0,2.82,2.75,1.72,7.0,6.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-4.0,-4.0,-7.0,2.64,2.82,2.75,1.0,7.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-5.0,-5.0,-5.0,2.0,2.0,3.58,7.0,6.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-5.0,-4.0,-4.0,2.0,2.0,2.0,1.0,7.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-6.5,-6.5,-5.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-5.5,-5.0,-6.5,2.0,2.0,2.0,6.0,6.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-7.5,-6.529999999999999,-6.0,2.0,2.0,2.0,1.0,5.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-8.0,-7.5,-7.5,2.0,2.0,2.0,7.0,6.0,6.0,6.0,Risk/Caution
6.0,5.0,1,-7.5,-7.5,-8.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-7.5,-7.5,-7.5,2.0,2.0,2.0,6.0,5.0,6.0,6.0,Risk/Caution
6.0,7.0,1,-7.5,-7.5,-7.0,2.0,2.0,0.0,5.0,1.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-6.0,-7.5,-7.5,2.0,2.0,2.0,7.0,5.0,6.0,6.0,Risk/Caution
6.0,3.0,1,-7.0,-8.0,-7.0,2.0,0.0,1.0,1.0,3.0,6.0,6.0,Risk/Caution
6.0,7.0,1,-4.0,-6.0,-7.5,2.0,2.0,0.0,5.0,1.0,6.0,6.0,Risk/Caution
6.0,1.0,1,-7.5,-7.5,-7.5,0.0,2.0,2.0,3.0,5.0,6.0,6.0,Risk/Caution
6.0,5.0,1,-7.0,-7.5,-7.5,2.0,0.0,2.0,1.0,3.0,6.0,6.0,Risk/Caution
6.0,7.0,1,-7.5,-7.0,-7.5,2.0,2.0,0.0,5.0,1.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-6.0,-7.5,-7.5,2.0,2.0,2.0,6.0,7.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-5.0,-8.0,-7.0,2.0,2.0,0.0,5.0,1.0,6.0,6.0,Risk/Caution
6.0,6.0,1,-5.0,-6.0,-6.5,2.0,2.0,2.0,5.0,5.0,6.0,6.0,Risk/Caution
6.0,4.0,1,-5.5,-5.0,-3.5,1.87,2.85,2.08,7.0,5.0,6.0,6.0,Low/Minimal
6.0,2.0,1,-4.5,-5.5,-5.0,2.33,1.87,2.85,4.0,7.0,6.0,6.0,Low/Minimal
6.0,5.0,1,-6.0,-5.0,-5.0,2.43,2.0,2.3,4.0,4.0,6.0,6.0,Low/Minimal
6.0,6.0,1,-6.0,-6.0,-5.0,2.69,2.43,2.0,5.0,4.0,6.0,6.0,Low/Minimal
6.0,1.0,1,-7.0,-9.0,-3.5999999999999996,0.0,1.34,3.62,4.0,5.0,6.0,6.0,Low/Minimal
6.0,6.0,1,-6.0,-7.5,-4.5,2.18,2.05,1.94,6.0,6.0,6.0,6.0,Low/Minimal
6.0,8.0,1,-3.5,-3.0,-0.5,3.12,2.47,2.16,7.0,6.0,6.0,6.0,Low/Minimal
6.0,4.0,1,-5.0,-7.0,-3.0,2.0,2.0,2.0,4.0,6.0,7.0,6.0,Low/Minimal
6.0,2.0,1,-7.0,-5.0,-7.0,2.0,2.0,2.0,4.0,4.0,6.0,7.0,Low/Minimal
6.0,7.0,1,-4.5,-4.5,-5.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,Low/Minimal
6.0,5.0,1,-8.0,-4.5,-4.5,2.0,2.0,2.0,7.0,6.0,6.0,6.0,Low/Minimal
6.0,6.0,1,-4.0,-8.0,-4.5,2.0,2.0,2.0,5.0,7.0,6.0,6.0,Low/Minimal
6.0,7.0,1,-6.0,-4.0,-8.0,2.0,2.0,2.0,6.0,5.0,6.0,6.0,Low/Minimal
6.0,6.0,1,-6.0,-5.0,-6.0,2.0,2.0,2.0,8.0,7.0,6.0,6.0,Low/Minimal
5.0,7.0,1,-5.0,-4.0,-6.0,2.0,2.0,2.0,7.0,6.0,6.0,6.0,Low/Minimal
6.0,6.0,1,-4.0,-7.0,-5.0,2.0,2.0,2.0,7.0,7.0,6.0,5.0,Low/Minimal
6.0,5.0,1,-5.0,-4.0,-7.0,2.0,2.0,2.0,6.0,7.0,6.0,6.0,Low/Minimal
6.0,1.0,1,-8.0,-6.5,-8.0,0.0,2.0,2.0,7.0,8.0,6.0,6.0,Low/Minimal
6.0,6.0,1,-6.800000000000001,-3.0,-8.0,2.0,2.0,0.0,5.0,1.0,6.0,6.0,Low/Minimal
8.0,1.0,1,-6.0,-5.0,-3.0,1.0,2.0,2.0,7.0,6.0,6.0,7.0,Low/Minimal
6.0,6.0,1,-5.0,-6.0,-5.0,2.0,1.0,2.0,1.0,7.0,8.0,6.0,Low/Minimal
6.0,8.0,1,-6.0,-5.0,-6.0,2.0,2.0,1.0,6.0,1.0,6.0,8.0,Low/Minimal
6.0,7.0,1,-2.5,-4.0,-4.9,2.0,2.0,2.0,7.0,4.0,6.0,6.0,Low/Minimal
6.0,5.0,1,-3.0,-4.0,-7.0,2.0,2.0,2.0,8.0,8.0,6.0,6.0,Low/Minimal
6.0,5.0,1,-8.0,-5.5,-4.5,2.0,2.0,2.0,5.0,6.0,6.0,6.0,Low/Minimal
5.0,1.0,1,-5.5,-4.0,-5.5,0.0,2.29,2.1,7.0,2.0,6.0,6.0,Low/Minimal
6.0,1.0,1,-6.0,-5.0,-5.0,0.0,1.0,1.94,4.0,5.0,6.0,6.0,Low/Minimal
6.0,1.0,1,-7.0,-5.0,-5.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,Low/Minimal
