Appetite,pEffort,Sex_F,SleepInd,SleepInd(-1),SleepInd(-2),uaI,uaI(-1),uaI(-2),pEffort(-1),pEffort(-2),Appetite(-1),Appetite(-2),FatigInd
6.0,6.0,1,-7.0,-6.0,-7.5,1.82,2.18,2.05,6.0,6.0,6.0,6.0,Optimal
6.0,5.0,1,-2.5,-5.0,-3.5,1.93,2.76,2.18,5.0,5.0,6.0,6.0,Optimal
6.0,4.0,0,-4.0,-4.5,-7.0,1.75,1.0,0.0,2.0,1.0,5.0,6.0,Optimal
4.0,6.0,0,-5.0,-5.0,-5.0,2.3,0.0,2.31,1.0,6.0,3.0,4.0,Optimal
6.0,6.0,1,-4.5,-4.5,-7.0,2.35,0.0,1.87,1.0,2.0,6.0,6.0,Optimal
6.0,6.0,1,-6.0,-5.0,-4.5,2.51,2.35,1.46,5.0,4.0,6.0,6.0,Optimal
6.0,4.0,1,-4.5,-7.0,-6.0,2.0,1.0,2.0,1.0,6.0,6.0,6.0,Optimal
6.0,6.0,0,-4.5,-3.0,0.0,1.52,2.08,0.0,7.0,1.0,6.0,5.0,Optimal
6.0,5.0,1,-6.0,-6.0,-2.5,1.83,2.44,1.93,5.0,5.0,6.0,6.0,Optimal
3.0,6.0,0,-5.0,-4.0,-5.0,2.0,2.0,1.0,5.0,3.0,5.0,3.0,Optimal
5.0,4.0,1,-5.0,-6.0,-5.0,2.0,2.0,2.0,5.0,3.0,5.0,8.0,Optimal
6.0,3.0,1,-5.5,-6.0,-5.5,2.0,2.0,2.0,3.0,2.0,6.0,6.0,Optimal
7.0,5.0,1,-1.0,-5.0,-5.0,2.03,2.25,2.2,6.0,7.0,6.0,6.0,Optimal
6.0,6.0,1,-5.0,-5.0,-4.0,2.0,2.0,2.0,6.0,1.0,6.0,6.0,Optimal
5.0,7.0,0,-5.0,-4.5,-5.0,2.42,1.42,1.93,5.0,5.0,6.0,6.0,Optimal
6.0,6.0,1,-6.0,-6.0,-6.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,Optimal
6.0,3.0,1,-5.5,-5.5,-6.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,Optimal
6.0,4.0,1,-3.5,-3.0,-3.0,1.32,2.04,2.03,8.0,6.0,6.0,6.0,Optimal
6.0,7.0,1,-5.5,-5.0,-5.5,2.12,1.62,2.03,6.0,4.0,6.0,5.0,Optimal
6.0,3.0,1,-4.0,-3.0,-4.0,1.32,2.47,2.24,3.0,3.0,5.0,5.0,Optimal
5.0,4.0,1,-7.0,-7.0,-7.0,2.33,1.4,2.92,3.0,2.0,5.0,6.0,Optimal
6.0,1.0,1,-7.0,-6.0,-6.0,0.0,1.0,1.0,4.0,4.0,6.0,6.0,Optimal
6.0,7.0,1,-6.0,-6.0,-6.0,2.22,2.09,1.22,8.0,4.0,6.0,6.0,Optimal
6.0,3.0,1,-8.0,-6.0,-6.0,2.0,2.0,2.0,5.0,6.0,6.0,6.0,Optimal
6.0,7.0,1,-5.0,-5.5,-6.0,2.0,2.0,2.0,6.0,7.0,6.0,6.0,Optimal
4.0,6.0,0,-4.5,-2.0,-4.0,2.05,2.36,2.33,6.0,6.0,3.0,5.0,Optimal
4.0,6.0,0,-5.5,-4.0,-4.0,1.68,2.59,2.05,7.0,6.0,4.0,4.0,Optimal
3.0,6.0,0,-4.0,0.0,-3.0,2.07,1.33,2.58,3.0,4.0,4.0,4.0,Optimal
6.0,6.0,1,-6.0,-5.5,-5.5,2.48,1.75,2.02,5.0,6.0,6.0,6.0,Optimal
6.0,4.0,1,-5.0,-6.0,-6.0,2.85,2.18,2.48,4.0,6.0,6.0,6.0,Optimal
5.0,5.0,1,-5.0,-5.0,-4.0,2.79,2.68,1.4,5.0,4.0,6.0,6.0,Optimal
6.0,3.0,1,-6.0,-6.0,-7.0,1.0,2.0,2.0,3.0,3.0,6.0,6.0,Optimal
4.0,5.0,0,-4.5,-4.800000000000001,-5.0,2.0,2.0,2.0,5.0,5.0,4.0,4.0,Optimal
6.0,6.0,1,-5.0,-6.0,-7.0,2.75,1.72,0.0,4.0,1.0,6.0,6.0,Optimal
4.0,7.0,0,-4.0,-8.0,-6.0,2.33,0.0,1.89,1.0,7.0,4.0,4.0,Optimal
4.0,5.0,0,-5.0,-5.5,-5.5,1.75,2.51,1.68,6.0,6.0,4.0,4.0,Optimal
6.0,7.0,1,-3.0,-0.5,-5.5,2.47,2.16,1.82,6.0,5.0,6.0,6.0,Optimal
4.0,5.0,0,-5.6,-5.0,-4.0,2.83,1.9,1.6,5.0,5.0,5.0,5.0,Optimal
5.0,2.0,1,-4.0,-6.0,-7.0,2.0,2.0,0.0,2.0,1.0,5.0,6.0,Optimal
6.0,8.0,1,-4.5,-4.5,-4.5,2.25,2.06,1.97,8.0,7.0,6.0,6.0,Optimal
6.0,6.0,1,-5.5,-6.0,-6.0,2.03,2.33,0.0,7.0,1.0,6.0,6.0,Optimal
6.0,8.0,1,-4.0,-7.0,-2.5,2.0,2.0,2.0,8.0,7.0,6.0,6.0,Optimal
6.0,3.0,1,-1.5,-6.0,-6.0,2.68,3.95,6.42,4.0,4.0,6.0,6.0,Optimal
6.0,5.0,1,-4.5,-4.5,-4.5,2.12,2.25,2.06,8.0,8.0,6.0,6.0,Optimal
