Name,Date,Appetite,SleepInd,StSpirit,pEffort,uaI,uaI(-1),DeltaWt (%),DeltaHrtwo,FatigInd,Sex_F
269.0,1584316800,6.0,-5.0,7.0,2.0,2.0,1.0,0.0,0.0,Low/Minimal,0
274.0,1585094400,4.0,-6.0,5.0,5.0,2.0,2.0,0.0068728522336769515,23.0,Low/Minimal,0
275.0,1579737600,5.0,-7.0,3.0,1.0,0.0,0.0,0.0,-6.0,Low/Minimal,0
275.0,1574812800,4.0,-6.800000000000001,3.0,5.0,3.23,2.13,0.022727272727272707,-6.0,Low/Minimal,0
269.0,1572566400,7.0,-4.0,5.0,1.0,1.69,2.28,0.0,-12.0,Low/Minimal,0
270.0262444811585,1589068800,6.0,-6.98687775942073,5.0,1.0,0.0,2.0,0.00011586967398914336,5.68506622609751,Low/Minimal,1
271.0,1587254400,6.0,-6.0,5.0,1.0,0.0,1.0,-0.0022172949002217113,0.0,Low/Minimal,1
267.0,1586131200,6.0,-4.0,5.0,6.0,2.0,2.0,-0.011382113821138184,8.0,Low/Minimal,1
267.0,1586649600,6.0,-8.0,5.0,1.0,0.0,2.0,0.018151815181518094,9.0,Low/Minimal,1
271.0,1587340800,6.0,-5.5,5.0,2.0,2.0,0.0,0.004444444444444473,6.0,Low/Minimal,1
270.0,1579996800,6.0,-8.0,5.0,5.0,0.0,1.83,0.0,24.0,Low/Minimal,1
268.8019970078782,1586493907,6.0,-6.873751870076143,5.0,1.450499251969543,0.900998503939086,2.0,0.008971096929108618,7.648502244091371,Low/Minimal,1
271.0,1575158400,5.0,-5.5,5.0,1.0,0.0,2.29,-0.0023474178403756207,-6.0,Low/Minimal,1
283.0,1734912000,4.0,-6.0,3.0,3.0,1.0,0.0,-0.0017421602787456303,0.0,Low/Minimal,1
283.0,1709856000,5.0,-9.8,5.0,1.0,1.0,2.0,0.0,0.0,Low/Minimal,1
270.87474683017774,1587440727,6.062626584911117,-5.51565664622778,5.0,1.9686867075444414,1.9686867075444414,2.0,-0.006429336554498461,5.968686707544442,Low/Minimal,1
271.0,1585188742,6.0,-5.881613990666913,5.0,2.0,2.0,2.0,0.0022371364653244186,-2.2896839440014762,Low/Minimal,1
270.0,1580169600,6.0,-3.0,5.0,1.0,0.0,2.02,0.002450980392156854,6.0,Low/Minimal,1
267.63086090162,1586635973,6.0,-7.526854323784995,5.0,1.1577152254050014,0.315430450810003,2.0,0.015639475837332807,8.526854323784995,Low/Minimal,1
271.0,1586217600,6.0,-5.0,5.0,2.0,2.0,2.0,-0.0044345898004434225,6.0,Low/Minimal,1
267.0,1585353600,6.0,-4.5,6.0,7.0,2.0,2.0,-0.00983606557377048,4.0,Low/Minimal,1
